vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
Salisu Suya and grill Spot,salisu-suya-and-grill-spot,lunch,dinner,late-night,budget-friendly,grills,,budget,"Salisu Suya and grill Spot offers a great and good grill chicken, cow meat parts like the kidney, liver, chicken liver and gizzards",08086236152,"Lingu Street, opposite Health Trust Plaza off Aminu Kano, FCT Abuja",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,9:00 AM,1:00 AM,Grilled Chicken,"Full or cut grilles chicken with peculiar Suya seasoned pepper Yaji, plus onions, cabbage and cucumber",,Gizzards and Masa,Grilled gizzards and masa,,Liver and masa,Grilled chicken liver and Masa served with seasoned Suya pepper,,,0,,
CorrectChow,correctchow,breakfast,lunch,dinner,late-night,budget-friendly,drinks,budget,"CorrectChow offers a traditional healthy fast-food and snack. Delicious Indomie with Eggs, Eggs Roll, spaghetti, MoiMoi, Drinks and juice",08035377636,"Skylak Pharmacy plaza, Aminu Kano Crescent, opposite hustle and bustle, Wuse 2 FCT Abuja",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,12:00 PM,12:00 AM,Spaghetti and chicken or beef or Fish,Fried spaghetti pasta garnished with vegetables and served with fried chicken or Fish or other protein,,Indomie with Eggs,Instant noodles Indomie and Eggs prepared so delicious and fried eggs,,Plantains and egg sauce,A deep oil fried plantain eaten with egg sauce,,,0,,
Oliver's Burger,olivers-burger,lunch,drinks,rice,snacks,,,budget,"Oliver Burger is nice spot for your Tasty and yummy fast-food and pastries. You will enjoy delicious Burge, doughnut, cake Samosa, Shawarma, Pizza, Noodles juice made some soft drinks",08057522491,"Omega Center, Aminu Kano Crescent, Wuse 2 FCT Abuja",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,7:00 AM,12:00 AM,7:00 AM,12:00 AM,7:00 AM,12:00 AM,7:00 AM,12:00 AM,7:00 AM,12:00 AM,7:00 AM,12:00 AM,1:00 PM,12:00 AM,Jumbo Shawarma,"Tiny Baked wheat flour round bread fortified and filled with vegetables and meats, then toast till it turns brownish. Really delicious!",,Chicken and Chip,Fried chicken and fried sliced potatoes chips,,Fish Roll,Fried donuts with huge and fried Fish inside,,,0,,
Bianns Cuisine,bianns-cuisine,breakfast,lunch,dinner,drinks,rice,swallow,standard,"Bianns Cuisine offers different types of African and Nigerian foods and drinks: White Rice, jollof rice fried rice, vegetable soup, Egusi, white soup, okra soup, bitter leave soup, Vitamin soup and banga stew",07079789421,"Alexandra Street Berger paint Plaza, Banex Wuse 2",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,,,Vitamin Soup,"Vitamin soup in a different kind vegetable but with a unique way recipes and ingredients accompanied with assorted meat, fish of different taste, cowskin and nutritious ingredients",,White soup,"White soup is Meat indensed soup. Little or no Palm oil. This unique to Igbo cuisine made hugely with different parts of cow and goat meat,: intestines, liver, etc",,White and Banga stew,"Boiled white rice, enjoyed with Banga stew. Banga stew is made from smashed or pounded palm fruit water or juice, then seasoned with cooking ingredients",,,0,,
special Abacha,special-abacha,breakfast,lunch,dinner,,,,budget,"She sells Special Abacha, very tasteful that you can't resist.",08163141900,zone 3 by General hospital,Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,12:30 PM,6:00 PM,12:30 PM,6:00 PM,12:30 PM,6:00 PM,12:30 PM,6:00 PM,12:30 PM,6:00 PM,,,,,Abacha and Ugba.,"She sells Abacha , fried fish, kpomo ugba, garden Egg, etc ranging N1,000 and above.",,Abacha and Ugba.,"She sells Abacha , fried fish, kpomo ugba, garden Egg, etc ranging N1,000 and above.",,Abacha and Ugba.,"She sells Abacha , fried fish, kpomo ugba, garden Egg, etc ranging N1,000 and above.",,,0,,
"Ozis Snacks, drinks and fast-food",ozis-snacks-drinks-and-fast-food,breakfast,lunch,budget-friendly,drinks,snacks,,budget,"Ozis snacks specialises of hot and freshly baked and fried snacks, like donuts, meatpies, plantains chips, eggroll, and different types of pastries. This eatery offers noodles: Indomie and Eggs and drinks like Zobo, chocolate hot tea, milk tea and others sodas",08175573357,"Banex Plaza Wuse 2, beside ProtoBrand Nig Ltd FCT Abuja",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,,,Eggs rolls,"This is a fried doughnut with full boiled egg in it. Very tasty, cheap and sizable",,Meat Pies,"Delicious meat pie from wheat flour pasta freshly baked instantly with minced meat chunks meat, ginger with other nutritious ingredients",,Indomie with Eggs,Ozis noodles is uniquely prepared in an amazing and hygienic way. It a fried or boiled noodle pasta topped with fried Eggs or with the customer's choice,,,0,,
Mama princess,mama-princess,breakfast,lunch,dinner,,,,budget,"She sells Rice and stew with beans,N2,000 jollof rice N2,000 Swallow Apu, semo garri wheat soup: Egusi water leaf, ogbono Banger Vegetable,Afang etc. plantain, fried fish, meat, kpomo etc Her price from N2,000 upward.",08060299929,zone 3 by Neighborhood,Wuse,Abuja,FCT,Nigeria,9.0616328,7.4688161,TRUE,7:30 AM,9:00 PM,7:30 AM,9:00 PM,7:30 AM,9:00 PM,7:30 AM,9:00 PM,7:30 AM,9:00 PM,7:30 AM,9:00 PM,7:30 AM,9:00 PM,"Rice and stew , beans, yam, moi moi etc.","She sells Rice and stew with beans,N2,000 jollof rice N2,000 Swallow Apu, semo garri wheat soup: Egusi water leaf, ogbono Banger Vegetable,Afang etc. plantain, fried fish, meat, kpomo etc Her price from N2,000 upward.",,"Rice and stew , beans, yam, moi moi etc.","She sells Rice and stew with beans,N2,000 jollof rice N2,000 Swallow Apu, semo garri wheat soup: Egusi water leaf, ogbono Banger Vegetable,Afang etc. plantain, fried fish, meat, kpomo etc Her price from N2,000 upward.",,"Rice and stew , beans, yam, moi moi etc.","She sells Rice and stew with beans,N2,000 jollof rice N2,000 Swallow Apu, semo garri wheat soup: Egusi water leaf, ogbono Banger Vegetable,Afang etc. plantain, fried fish, meat, kpomo etc Her price from N2,000 upward.",,,0,,
Nature's delight Natural drink,natures-delight-natural-drink,drinks,,,,,,budget,She sells all manner of smoothy juice drinks parfait smoothy bowls.,08065297100,zone 3 by Neighborhood,Wuse,Abuja,FCT,Nigeria,9.0615914,7.4690521,TRUE,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,8:30 AM,6:00 PM,,,she sells all sorts of fruit drinks and parfait,"She sells all sorts of drinks ranging from 1500- 4,000",,she sells all sorts of fruit drinks and parfait,"She sells all sorts of drinks ranging from 1500- 4,000",,she sells all sorts of fruit drinks and parfait,"She sells all sorts of drinks ranging from 1500- 4,000",,,0,,
mama blessing,mama-blessing,breakfast,lunch,dinner,,,,budget,"She sells yam, plantain, beans, fish and kpomo.",08169290605,zone 3 general hospital/Neighborhood,Wuse,Abuja,FCT,Nigeria,9.0616917,7.4688751,TRUE,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,,,"Roasted yam, plantain, porridge beans.","She sells plantain ,beans and yam ranging from 1,000,1500 and above.",,"Roasted yam, plantain, porridge beans.","She sells plantain ,beans and yam ranging from 1,000,1500 and above.",,"Roasted yam, plantain, porridge beans.","She sells plantain ,beans and yam ranging from 1,000,1500 and above.",,,0,,
Native Hut,native-hut,breakfast,lunch,budget-friendly,drinks,grills,swallow,budget,"Native Hut is a restaurant that offers native meal and common Nigerian food like: Abacha, cowhead, party jollof, Bole grill chicken, plantains and native drinks like the palm wine, soft drinks and juices, even noodle and other goods",09131231411,"Old Banex Plaza, By Access Bank, Wuse 2, FCT Abuja",Wuse,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,7:00 PM,,,Fried rice and Chicken,"Fried is popular kind of cooked rice with different cooking method of low heat frying and with a unique tasty compromise ingredients like carrots, cabbage green peppers and seasonings. Then topped with fried chicken of different sizes",,"Jollof Rice, beans and plantains","Jollof Rice is a blended tomato sauce with Stew ingredients mixed with the Rice, accompanied with beans and plantains",,Vegetable soup and Eba,Pasta from cassava flakes known as Eba or Garri taken with vegetable soup made of different kinds of meat and fishes,,,0,,
