vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
Mama Ejima home cooking restaurant,mama-ejima-home-cooking-restaurant,breakfast,lunch,dinner,drinks,rice,swallow,budget,"Mama Ejima home cooking restaurant is well structured spot where you get home food away from home. Specialized in dishing all kinds of Nigerian soups and swallows, different types of cooked rice and drinks",07032512357,Maputa Street in Neighborhood Market at Wuse 3,Wuse,Abuja,FCT,Nigeria,9.0667,7.4572,TRUE,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,,,Bitter leave soup and fufu,"Soup source from bitter leave and fermented cassava that has been cooked, pounded to pasta",,Egusi soup with Garri,"Delicious soup from melon seeds, taken with cassava flakes turned to pasta",,Jollof Rice,"Jollof Rice is a unique kind of Nigerian cooked rice blended and fused with tomato sauce with ingredients like peppers, chilli peppers onions and seasonings",,,,,
Gub's Kitchen Ventures,gubs-kitchen-ventures,breakfast,lunch,budget-friendly,rice,swallow,,budget,"Gub's Kitchen Ventures is local restaurant that also serves amazing dishes: White Rice, fried rice, Egusi soup, afang soup, vegetable soup, oha soup, okra soup, Plus other soups. They have Garri, semo, pounded Yam and other swallows",09077805114,"Sakode Street opposite PDP Office in Wuse Zone 5, Abuja.",Wuse,Abuja,FCT,Nigeria,9.072,7.4548,TRUE,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,,,Semo with Egusi soup,"Semo with Egusi is a popular Nigerian Meals. A semolina pasta eaten with Egusi soup, a soup source from melon seeds, grinded and garnished with some kinds of fish and assorted meat",,White Rice and tomato sauce,"A boiled white Rice taken with tomato sauce. This sauce has mashed fresh tomatoes, vegetable oil, onions, pepper, and seasonings ingredients",,Pounded Yam and okra soup,"Pounded Yam is a paste from boiled and pounded Yam, eaten with soup source from okra. Okra is edible vegetable plant plant that is slimy in nature and very nutritious, chopped and cooked with leaves, some soups ingredients",,,,,
Mama Jemila Akara and pap,mama-jemila-akara-and-pap,breakfast,lunch,budget-friendly,,,,budget,"Prepares and fries Beans cakes popularly known as Akara alongside with pap. Mama Jemila make masah-- a popular northern cuisine. Here you can also get other fried foods like potatoes, and yams",07014591777,Maputa Street in Neighborhood Market at Wuse Zone 3 close to FRSC Headquarters Abuja,Wuse,Abuja,FCT,Nigeria,9.0667,7.4572,TRUE,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,8:00 AM,5:30 PM,,,Fried Akara,Akara is a deep fried beans Cake made from a mashed and ground Beans pudding,,Fried Yams,Fried Yams are sliced Yams or chunked and fried in a deep hot vegetable oil till it softs,,Fried potatoes,Fried potatoes are sliced potatoes or chunked and fried in a deep hot vegetable oil till it softs,,,,,
Oga Munkaila fast-food/Meishai,oga-munkaila-fast-foodmeishai,breakfast,lunch,dinner,late-night,budget-friendly,drinks,budget,"Oga Munkaila fast-food and Meishai is fast food and breakfast meals Spot where you can enjoy a tasty and garnished instant noodles prepared in different ways. The place also serves, toast, fried eggs, Arabian tea, English tea, noodles with eggs, toast(bread)with egg, milk and chocolate hot drinks and soft drinks",08149412371,"Wuse Zone 4, Constantine Street, intersection with shinyanga Street, Abuja.",Wuse,Abuja,FCT,Nigeria,9.0652,7.4773,TRUE,8:00 AM,1:00 AM,8:00 AM,1:00 AM,8:00 AM,1:00 AM,8:00 AM,1:00 AM,8:00 AM,1:00 AM,8:00 AM,1:00 AM,,,Instant noodles(Indomie) with Eggs,"Indomie with Eggs is fast-food parboiled and fried noodles with ingredients like vegetable oil, carrots, green pepper, Bell peppers, onions and seasonings, then topped with fried Eggs.",,Toast(Bread) with eggs,"Toast with eggs is a fried eggs that is placed inside a cut or sliced bread, then heat the bread in a frying pan or toaster till the bread turns brownish",,Arabian tea,"This is form of hot beverage sourced from the Arabian medicinal boiled leaves. The drink can preferably have : honey, sugar,. milk, chocolate, stirred and served hot.",,,,,
"Madam Cynthia Roasted yams, plantains nd Beans",madam-cynthia-roasted-yams-plantains-nd-beans,lunch,budget-friendly,rice,,,,budget,"Madam Cynthia Roasted yams plantains and Beans is a nice place to enjoy your brunch, lunch with a well roasted yams, plantains, and porridge beans. This roasted yams or plantains can be mixed together without the porridge beans and sprinkled with palm oil sauce. Also the plantain or Yam can be served with oil sauce differently",08089875126,"The behind or back of U.B.A Branch at Zone 3, very close to Febson Mall along Sultan Abubarka Way, Abuja",Wuse,Abuja,FCT,Nigeria,9.0645,7.4565,TRUE,10:30 AM,5:00 PM,10:30 AM,5:00 PM,10:30 AM,5:00 PM,10:30 AM,5:00 PM,10:30 AM,5:00 PM,10:30 AM,5:00 PM,,,Beans with Plantains,"This is a porridge beans and a roasted plantains chopped in chunks and then mixed in company of vegetables oil sauce that has some onions, pepper and seasonings ingredients. It can go with some fish or cowskin (kpomo). It's a delicious and tasty local meal.",,Beans with yam,"This is a porridge beans and a roasted yams cut in chunks and then mixed in company of vegetables oil sauce that has some onions, pepper and seasonings ingredients. It can go with some fish or cowskin (kpomo). It's a delicious and tasty local meal",,Yam with Palm oil sauce,"It's a meal served with roasted chunks of yam and vegetable oil sauce separately by dunking your yams in the sauce This oil sauce has ingredients like hot peppers, onions, crayfish and seasonings. The oil also charred.",,,,,
Lajawa Suya and Barbecue,lajawa-suya-and-barbecue,dinner,late-night,budget-friendly,grills,,,standard,"Lajawa Suya and Barbecue is a well structured spot that has existed more than 30 years. This place is the right place for lovers of grilled Chicken, meats, gizzards, Lamb and all kinds of barbequed or suyaed meats. It's quite pocket friendly and their service is also a top notch in Suya and grill business.",08029018585,Constantine Street beside Zone 4 Plaza within the bureau de change area in Zone 4 Abuja,Wuse,Abuja,FCT,Nigeria,9.0655,7.4768,TRUE,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,9:00 AM,12:00 AM,Chicken Suya,"Chicken Suya is grilled or barbeque chicken meat which is prepared by heating the chicken on a grill stove or structure with firewood or coal underneath it. Before then, the chicken is completely smeared with a popular Suya pepper and seasonings called Yaji in Hausa language. The Chicken Suya can be served with the Yaji, accompanied with some cucumber, onions, cabbage and other vegetables",,Grilled Gizzards.,"The Gizzards is a chicken part, usually the the stomach. This part is really delicious and uniquely tasty. It's usually eaten with the seasoned Pepper(Yaji) and some Veggies",,Suya Meats,"Suyaed meats are various kinds of grilled or barbequed meats like Beef, Mutton, and Chevon served with seasoned Pepper along side with some vegetables like the cabbage, carrots, onions",,,,,
Ui best suya,ui-best-suya,late-night,drinks,grills,,,,budget,"Sells beef , chicken, and ram suya with masa and gizzard",08161375709,Admiralty estate gate,Asokoro,Abuja,FCT,Nigeria,9.049852584132948,7.533036613335046,TRUE,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,Masa and Gizzard,"Sells beef , chicken, and ram suya with masa and gizzard",,"Beef, ram and chicken Suya","Sells beef , chicken, and ram suya with masa and gizzard",,Drinks and water,,,,,,
Doyin Exclusive Taste,doyin-exclusive-taste,breakfast,lunch,dinner,drinks,rice,swallow,budget,"Budget friendly restaurant that dishes local delicacy and cuisine, like Amala, Fufu, Garri and soups like Egusi, vegetable soups, Yoruba soup, fried rice, white Rice and noodles(Spaghetti)",08063989562,"Matadi Street, besides Tamara Guest Inn, located at Neighborhood Market zone 3",Wuse,Abuja,FCT,Nigeria,9.064,7.456,TRUE,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,10:00 AM,10:00 PM,,,Amala and vegetable soup,"Amala is a Yoruba food pasta from Yam flour or flakes prepared by mixing the flour in hot water, stirring and lightly cooked to form pasta",,White Rice,White Rice is a staple and common food rice cereal consumed with tomato sauce or any other desired sauce like vegetable or egg,,Spaghetti,"Spaghetti is a long pasta noodle prepared with ingredients like tomato, pepper, onion, crayfish, seasonings and vegetable like carrots, cabbage, spinach, etc",,,,,
NativePot,nativepot,breakfast,lunch,dinner,budget-friendly,drinks,,budget,"NativePot and Healthy Meals deals strictly on local delicacy especially Igbo tribe native foods and some local meals you can get from Igbo villages like Abacha, akidi, fio-fio, etc.",08108396973,Matadi Street beside Tamara Guest Inn along Abidjan Street located at Wuse 3,Wuse,Abuja,FCT,Nigeria,9.0641,7.4562,TRUE,9:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,10:00 PM,9:00 AM,10:00 PM,,,"Okpa, Abacha with Ugba, Yam with Akidi, Fio-fio, Cowheadbetc","Okpa: This is the proteinous cowpeas pudding. The cowpeas is grinded and mixed ingredients like palm oil, pepper, onion, crayfish, seasoning, vegetable, etc,. Then wrapped either in a plastic bag or plate and cooked",,Abacha & Akidi,"Abacha: This is a slices of parboiled cassava. Thoroughly washed and then mixed with ingredients like palm oil, assorted fishes, meats, stock fishes, cowskin, crayfish, onion and seasonings. Akidi: Akidi is an Igbo native food from cocoyam source. This cocoyam is boiled, chopped, sun dried and pounded then cooked with local ingredients like Ukpaka(oil bean), vegetable oil, onion, crayfish, fish or meat plus seasonings",,Abacha with Ugba,"Abacha: This is a slices of parboiled cassava. Thoroughly washed and then mixed with ingredients like palm oil, assorted fishes, meats, stock fishes, cowskin, crayfish, onion and seasonings. Ugba is a local name for oil bean which serve as the garnishing or complementary ingredient",,,,,
Mama Akara,mama-akara,breakfast,,,,,,budget,"She sells,poff poff Akaara, plantain, potato, yam, bread and pap.",08075585713,wuse zone 5 by lbro Hotel Annex,Wuse,Abuja,FCT,Nigeria,9.0628337,7.4558279,TRUE,7:00 AM,12:00 PM,7:00 AM,12:00 PM,7:00 AM,12:00 PM,7:00 AM,12:00 PM,7:00 AM,12:00 PM,,,,,"yam, potato, Akara, pap and bread","She sells,poff poff Akaara, plantain, potato, yam, bread and pap.",,"yam, potato, Akara, pap and bread","She sells,poff poff Akaara, plantain, potato, yam, bread and pap.",,"yam, jollof rice meat fish beans swallow etc.","She sells,poff poff Akaara, plantain, potato, yam, bread and pap.",,,,,
gift,gift,breakfast,lunch,dinner,,,,budget,"She sells White Rice, and stew, Roasted yam, Roasted plantain with fish, Swallow like Eba, Semovita, Soup: Afang, vegetable, bitter leaf, okro Egusi, white soup. Porridge beans,bread and Chicken.",08133205437,zone 5 by FIRS,Wuse,Abuja,FCT,Nigeria,9.0639025,7.4555053,TRUE,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,6:00 AM,6:00 PM,,,"White Rice, stew jollof rice, fried rice etc.","She sells White Rice, and stew, Roasted yam, Roasted plantain with fish, Swallow like Eba, Semovita, Soup: Afang, vegetable, bitter leaf, okro Egusi, white soup. Porridge beans,bread and Chicken.",,"White Rice, stew jollof rice, fried rice etc.","She sells White Rice, and stew, Roasted yam, Roasted plantain with fish, Swallow like Eba, Semovita, Soup: Afang, vegetable, bitter leaf, okro Egusi, white soup. Porridge beans,bread and Chicken.",,"White Rice, stew jollof rice, fried rice etc.","She sells White Rice, and stew, Roasted yam, Roasted plantain with fish, Swallow like Eba, Semovita, Soup: Afang, vegetable, bitter leaf, okro Egusi, white soup. Porridge beans,bread and Chicken.",,,,,
madam Ekaette,madam-ekaette,breakfast,lunch,dinner,,,,budget,"pap, porridge beans and bread, soups like Afang, oha, bitter leaf okro, Egusi etc. swallow: fufu, semo garri, wheat.",08187947003,zone 5 by spar supermarket,Wuse,Abuja,FCT,Nigeria,9.0641789,7.4578998,TRUE,7:00 AM,6:00 PM,,,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,,,"Rice, beans, Afang, Egusi, pap, and bread","pap, porridge beans and bread, soups like Afang, oha, bitter leaf okro, Egusi etc. swallow: fufu, semo garri, wheat.",,"Food like jellof rice,moi moi, beans pap and bread with Bole","pap, porridge beans and bread, soups like Afang, oha, bitter leaf okro, Egusi etc. swallow: fufu, semo garri, wheat.",,"Rice, beans, Afang, okro, Egusi, pap and bread.","pap, porridge beans and bread, soups like Afang, oha, bitter leaf okro, Egusi etc. swallow: fufu, semo garri, wheat.",,,,,
mama miracle,mama-miracle,breakfast,lunch,,,,,budget,"She sells mama put like rice and stew, beans and yam, moi moi and swallow, like vegetable soup, white soup, Egusi and ogbono, with garri, Apu and semo.",08082629116,zone 5 by PDP seceteriat.,Wuse,Abuja,FCT,Nigeria,9.0647176,7.4565031,TRUE,6:00 AM,3:30 PM,6:00 AM,3:30 PM,6:00 AM,3:30 PM,6:00 AM,3:30 PM,6:00 AM,3:30 PM,6:00 AM,3:30 PM,,,"Rice and stew , beans, yam, moi moi etc.","She sells mama put like rice and stew, beans and yam, moi moi and swallow, like vegetable soup, white soup, Egusi and ogbono, with garri, Apu and semo.",,"Rice and stew , beans, yam, moi moi etc.","She sells mama put like rice and stew, beans and yam, moi moi and swallow, like vegetable soup, white soup, Egusi and ogbono, with garri, Apu and semo.",,"Rice and stew , beans, yam, moi moi etc.","She sells mama put like rice and stew, beans and yam, moi moi and swallow, like vegetable soup, white soup, Egusi and ogbono, with garri, Apu and semo.",,,,,
Special,special,breakfast,lunch,,,,,budget,"she sells Okpa for 300, and 500 Naira.",09128615869,zone 6 junction by NNPC filling station.,Wuse,Abuja,FCT,Nigeria,9.0670786,7.4557237,TRUE,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,,,Okpa,She sells special Okpa,,Okpa,She sells special Okpa,,Okpa,She sells special Okpa,,,,,
mme Masa,mme-masa,breakfast,lunch,,,,,budget,She sells Masa with yaji pepper and sauce with Tuwoshinkafa.,07039994169,Sudan street,Wuse,Abuja,FCT,Nigeria,9.0711244,7.455884,TRUE,6:30 AM,12:55 PM,6:30 AM,12:55 PM,6:30 AM,12:55 PM,6:30 AM,12:55 PM,6:30 AM,12:55 PM,6:30 AM,12:55 PM,6:30 AM,12:55 PM,"Masa with yaji pepper, and Tuwoshinkafa",She sells Masa with yaji pepper and sauce with Tuwoshinkafa.,,"Masa with yaji pepper, and Tuwoshinkafa","She sells Masa with yaji pepper and sauce for 1500, and Tuwoshinkafa goes for 500 a plate.",,"Masa with yaji pepper, and Tuwoshinkafa","She sells Masa with yaji pepper and sauce for 1500 and above,while Tuwoshinkafa goes 500a plate.",,,,,
mummy good luck,mummy-good-luck,breakfast,,,,,,budget,"She sells Akara, pap, yam, and bread.",08167476078,Sudan street,Wuse,Abuja,FCT,Nigeria,9.0704381,7.455884,TRUE,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,,,,,"yam, potato, Akara, pap and bread","she sells yam for 50, potatoes 50, pap 300 and brea 300.",,"Food like jellof rice,moi moi, beans etc.","she sells yam for 50, potatoes 50, pap 300 and brea 300.",,"yam, jollof rice meat fish beans swallow etc.","she sells yam for 50, potatoes 50, pap 300 and brea 300.",,,,,
